"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1984","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2500","","","","0"
"1985","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2400","","","","0"
"1986","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2500","","","","0"
"1987","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2100","","","","0"
"1988","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2100","","","","0"
"1989","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1800","","","","0"
"1990","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1700","","","","0"
"1991","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1643","","","","0"
"1992","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1200","","","","0"
"1993","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2100","","","","0"
"1994","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2100","","","","0"
"1995","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1900","","","","0"
"1996","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2074","","","","0"
"1997","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1000","","","","0"
"1998","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1200","","","","0"
"1999","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","1500","","","","0"
"2000","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2600","","","","0"
"2001","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","3000","","","","0"
"2002","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2800","","","","0"
"2003","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","2800","","","","0"
"2004","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","3200","","","","0"
"2005","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","3400","","","","0"
"2006","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4100","","","","0"
"2007","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4000","","","","0"
"2008","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4000","","","","0"
"2009","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4500","","","","0"
"2010","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4200","","","","0"
"2011","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4300","","","","0"
"2012","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4200","","","","0"
"2013","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","3600","","","","0"
"2014","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4200","","","","0"
"2015","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","3600","","","","0"
"2016","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4600","","","","0"
"2017","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","4500","","","","0"
"2018","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","5300","","","","0"
"2019","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","6900","","","","0"
"2020","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","6600","","","","0"
"2021","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115113938","4.16.29","7100","","","","0"
"1980","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","72000","","","","0"
"1981","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","71000","","","","0"
"1982","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","71000","","","","0"
"1983","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","70000","","","","0"
"1984","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","68800","","","","0"
"1985","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","68800","","","","0"
"1986","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","68400","","","","0"
"1987","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","69200","","","","0"
