"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","392500","","","","0"
"1988","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","647500","","","","0"
"1989","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","445200","","","","0"
"1990","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","352100","","","","0"
"1991","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","507776","","","","0"
"1992","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","647500","","","","0"
"1993","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","752700","","","","0"
"1994","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1031900","","","","0"
"1995","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","951000","","","","0"
"1996","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","635400","","","","0"
"1997","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","959100","","","","0"
"1998","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1112900","","","","0"
"1999","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1003600","","","","0"
"2000","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","951000","","","","0"
"2001","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","768900","","","","0"
"2002","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","890300","","","","0"
"2003","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1011700","","","","0"
"2004","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1116900","","","","0"
"2005","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1011700","","","","0"
"2006","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1003600","","","","0"
"2007","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1238300","","","","0"
"2008","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1254500","","","","0"
"2009","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1305100","","","","0"
"2010","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1345600","","","","0"
"2011","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1133100","","","","0"
"2012","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1469000","","","","0"
"2013","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1315200","","","","0"
"2014","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1284900","","","","0"
"2015","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1301100","","","","0"
"2016","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1294800","","","","0"
"2017","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1278800","","","","0"
"2018","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1382400","","","","0"
"2019","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1338600","","","","0"
"2020","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1381600","","","","0"
"2021","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","1395200","","","","0"
"1980","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","530000","","","","0"
"1981","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","510000","","","","0"
"1982","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","510000","","","","0"
"1983","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","526000","","","","0"
"1984","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","526000","","","","0"
"1985","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","546000","","","","0"
"1986","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","580700","","","","0"
"1987","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","627300","","","","0"
"1988","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","647500","","","","0"
"1989","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","667700","","","","0"
"1990","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","716300","","","","0"
"1991","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","737599","","","","0"
"1992","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","789100","","","","0"
"1993","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","768900","","","","0"
"1994","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","789100","","","","0"
"1995","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","801300","","","","0"
"1996","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","774300","","","","0"
"1997","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","768900","","","","0"
"1998","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","829600","","","","0"
"1999","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","864000","","","","0"
"2000","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","878200","","","","0"
"2001","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","930800","","","","0"
"2002","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","940900","","","","0"
"2003","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","961100","","","","0"
"2004","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","971200","","","","0"
"2005","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","991500","","","","0"
"2006","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","998800","","","","0"
"2007","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","953000","","","","0"
"2008","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","906500","","","","0"
"2009","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","874100","","","","0"
"2010","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","825600","","","","0"
"2011","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","767100","","","","0"
"2012","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","740600","","","","0"
"2013","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","712200","","","","0"
"2014","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","692000","","","","0"
"2015","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","667700","","","","0"
"2016","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","650900","","","","0"
"2017","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","655600","","","","0"
"2018","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","634100","","","","0"
"2019","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","605290","","","","0"
"2020","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","589100","","","","0"
"2021","Manitoba","2016A000246","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114669","9.16.28","571200","","","","0"
"1980","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1981","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1982","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1983","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1984","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1985","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1986","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1987","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1988","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1989","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1990","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","","..","","","0"
"1991","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","2073884","","","","0"
"1992","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","2108300","","","","0"
"1993","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","2030700","","","","0"
"1994","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","1560000","","","","0"
"1995","Manitoba","2016A000246","Seeded area (hectares)","Wheat, all excluding durum wheat","Hectares","149","units","0","v115114682","9.16.23","1566000","","","","0"
