"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1985","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1174000","","","","0"
"1986","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1019800","","","","0"
"1987","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","991500","","","","0"
"1988","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1558000","","","","0"
"1989","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1335500","","","","0"
"1990","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1133100","","","","0"
"1991","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1359352","","","","0"
"1992","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1375900","","","","0"
"1993","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1881800","","","","0"
"1994","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2670900","","","","0"
"1995","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2509100","","","","0"
"1996","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1578300","","","","0"
"1997","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2266200","","","","0"
"1998","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2529300","","","","0"
"1999","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2670900","","","","0"
"2000","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2387600","","","","0"
"2001","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1922300","","","","0"
"2002","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","1746200","","","","0"
"2003","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2306700","","","","0"
"2004","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2428100","","","","0"
"2005","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2549500","","","","0"
"2006","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","2418900","","","","0"
"2007","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","3049300","","","","0"
"2008","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","3116100","","","","0"
"2009","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","3298200","","","","0"
"2010","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","3439800","","","","0"
"2011","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4006400","","","","0"
"2012","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4694400","","","","0"
"2013","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4309900","","","","0"
"2014","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4350400","","","","0"
"2015","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4512200","","","","0"
"2016","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4552700","","","","0"
"2017","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","5151600","","","","0"
"2018","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4997900","","","","0"
"2019","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4765200","","r","","0"
"2020","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4588800","","","","0"
"2021","Saskatchewan","2016A000247","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995607","10.16.16","4903800","","","","0"
"1980","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","770000","","","","0"
"1981","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","690000","","","","0"
"1982","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","710000","","","","0"
"1983","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","708000","","","","0"
"1984","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","728000","","","","0"
"1985","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","728000","","","","0"
"1986","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","752700","","","","0"
"1987","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","809400","","","","0"
"1988","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","829600","","","","0"
"1989","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","870100","","","","0"
"1990","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","910500","","","","0"
"1991","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","984247","","","","0"
"1992","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1133100","","","","0"
"1993","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1133100","","","","0"
"1994","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1254500","","","","0"
"1995","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1193800","","","","0"
"1996","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1127100","","","","0"
"1997","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1133100","","","","0"
"1998","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1234300","","","","0"
"1999","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1416400","","","","0"
"2000","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1517600","","","","0"
"2001","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1598500","","","","0"
"2002","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1730000","","","","0"
"2003","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1821100","","","","0"
"2004","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1942500","","","","0"
"2005","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","2084100","","","","0"
"2006","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","2163700","","","","0"
"2007","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","2104400","","","","0"
"2008","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","2063900","","","","0"
"2009","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1997100","","","","0"
"2010","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1942500","","","","0"
"2011","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1886000","","","","0"
"2012","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1821100","","","","0"
"2013","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1849400","","","","0"
"2014","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1780600","","","","0"
"2015","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1659200","","","","0"
"2016","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1557600","","","","0"
"2017","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1554000","","","","0"
"2018","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1501800","","","","0"
"2019","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1429710","","","","0"
"2020","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1363300","","","","0"
"2021","Saskatchewan","2016A000247","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995629","10.16.28","1329700","","","","0"
"1980","Saskatchewan","2016A000247","Seeded area (hectares)","Wheat, all","Hectares","149","units","0","v114995602","10.16.1","7122000","","","","0"
"1981","Saskatchewan","2016A000247","Seeded area (hectares)","Wheat, all","Hectares","149","units","0","v114995602","10.16.1","7830000","","","","0"
"1982","Saskatchewan","2016A000247","Seeded area (hectares)","Wheat, all","Hectares","149","units","0","v114995602","10.16.1","7931000","","","","0"
