"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1987","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1988","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1989","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1990","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1991","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1992","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1993","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1994","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1995","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1996","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1997","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1998","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"1999","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"2000","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"2001","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
