"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1049","","","","0"
"1996","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1210","","","","0"
"1997","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1010","","","","0"
"1998","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1110","","","","0"
"1999","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1120","","","","0"
"2000","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1030","","","","0"
"2001","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","710","","","","0"
"2002","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","780","","","","0"
"2003","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","880","","","","0"
"2004","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","940","","","","0"
"2005","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1260","","","","0"
"2006","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1010","","","","0"
"2007","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","930","","","","0"
"2008","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1200","","","","0"
"2009","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1370","","","","0"
"2010","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1000","","","","0"
"2011","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1180","","","","0"
"2012","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1140","","","","0"
"2013","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1540","","","","0"
"2014","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1210","","","","0"
"2015","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1170","","","","0"
"2016","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1480","","","","0"
"2017","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1400","","","","0"
"2018","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1457","","r","","0"
"2019","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1465","","r","","0"
"2020","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1614","","r","","0"
"1990","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1300","","","","0"
"1991","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1300","","","","0"
"1992","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1200","","","","0"
"1993","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1300","","","","0"
"1994","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1200","","","","0"
"1995","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1100","","","","0"
"1996","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1400","","","","0"
"1997","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1010","","","","0"
"1998","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1300","","","","0"
"1999","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1500","","","","0"
"2000","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1400","","","","0"
"2001","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1100","","","","0"
"2002","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1000","","","","0"
"2003","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1200","","","","0"
"2004","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1300","","","","0"
"2005","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1800","","","","0"
"2006","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1500","","","","0"
"2007","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1400","","","","0"
"2008","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1800","","","","0"
"2009","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","2000","","","","0"
"2010","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1700","","","","0"
"2011","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1800","","","","0"
"2012","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1400","","","","0"
"2013","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","2100","","","","0"
"2014","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","1800","","","","0"
"2015","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","2100","","","","0"
"2016","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","2400","","","","0"
"2017","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114184","10.18.16","2200","","","","0"
