Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,3503412,5547,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,4325529,5175,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,1694448,2622,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,13619009,7801,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,14687899,10705,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,2801517,5802,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,3837802,4229,Weight in metric tonne
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,1387924,2246,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,55954523,113444,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,90722603,126617,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,5285473,8025,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,143501,198,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,178953,254,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,29746,47,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,85229,229,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,364120,553,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,29424240,65887,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,7107457,12582,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1518901,2425,Weight in metric tonne
