"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"1",2010,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",147,NA,NA,NA,0,291.777820121951,291777.820121951,14.7030843485763,2278.97807402933
"2",2011,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",113,NA,NA,NA,0,231.216238367916,231216.238367916,11.3276559095746,1755.78666598406
"3",2012,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",88,NA,NA,NA,0,196.860459207773,196860.459207773,9.9200684117168,1537.6106038161
"4",2013,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",90,NA,NA,NA,0,177.618571372129,177618.571372129,Inf,Inf
"5",2014,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",37,NA,NA,NA,0,69.0191373279371,69019.1373279371,Inf,Inf
"6",2015,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",22,NA,NA,NA,0,44.3655927607734,44365.5927607734,Inf,Inf
"7",2016,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",28,NA,NA,NA,0,58.4023315198496,58402.3315198496,Inf,Inf
"8",2017,"Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113666191","2.18.8",24,NA,NA,NA,0,49.3301668092861,49330.1668092861,2.24235864937018,347.565590652378
