"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"1012",2013,"Alberta","2016A000248","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113709567","10.18.6",22818,NA,NA,NA,0,84093.7569101496,84093756.9101496,30404.7393919533,1672260.66655743
"1013",2014,"Alberta","2016A000248","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113709567","10.18.6",178938,NA,NA,NA,0,859824.131468935,859824131.468935,310875.974635761,17098178.6049668
"1014",2015,"Alberta","2016A000248","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113709567","10.18.6",189388,NA,NA,NA,0,850723.205462223,850723205.462223,307585.465403843,16917200.5972113
"1015",2016,"Alberta","2016A000248","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113709567","10.18.6",213023,NA,NA,NA,0,927760.114977571,927760114.977571,335438.747781014,18449131.1279558
"1016",2017,"Alberta","2016A000248","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113709567","10.18.6",290661,NA,NA,NA,0,1211693.34667334,1211693346.67334,438096.973927918,24095333.5660355
"689",2010,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",256501,NA,NA,NA,0,625642.714278745,625642714.278745,363968.81225631,32757193.1030679
"690",2011,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",53984,NA,NA,NA,0,101076.597577187,101076597.577187,58801.4985669397,5292134.87102457
"691",2012,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",144024,NA,NA,NA,0,250337.20364319,250337203.64319,145634.133658245,13107072.029242
"692",2013,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",120896,NA,NA,NA,0,210491.86036389,210491860.36389,122454.031123157,11020862.8010841
"693",2014,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",119149,NA,NA,NA,0,264194.328033881,264194328.033881,153695.541536353,13832598.7382718
"694",2015,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",162310,NA,NA,NA,0,348544.064593712,348544064.593712,202766.157607072,18248954.1846364
"695",2016,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",195800,NA,NA,NA,0,407967.662624495,407967662.624495,237335.946244655,21360235.162019
"696",2017,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",224075,NA,NA,NA,0,443309.06501009,443309065.01009,257895.872790889,23210628.55118
"721",2010,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",142994,NA,NA,NA,0,629404.918895793,629404918.895793,19822.8604389502,2576971.85706352
"722",2011,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",107661,NA,NA,NA,0,585036.549501044,585036549.501044,20636.5556213391,2682752.23077409
"723",2012,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",115512,NA,NA,NA,0,557099.947334204,557099947.334204,17864.6554951643,2322405.21437137
"724",2013,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",125055,NA,NA,NA,0,545834.279029977,545834279.029977,15527.2067063414,2018536.87182439
"725",2014,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",150623,NA,NA,NA,0,622033.814310375,622033814.310375,17803.9562205034,2314514.30866544
"726",2015,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",135462,NA,NA,NA,0,570985.624829289,570985624.829289,15598.6089466323,2027819.1630622
"727",2016,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",160719,NA,NA,NA,0,668390.330404464,668390330.404464,16840.5525162985,2189271.8271188
